competition,season,status,rows,source,reason,error
EPL,2010,AVAILABLE,380,Football-Data.co.uk,,
EPL,2011,AVAILABLE,380,Football-Data.co.uk,,
EPL,2012,AVAILABLE,380,Football-Data.co.uk,,
EPL,2013,AVAILABLE,380,Football-Data.co.uk,,
EPL,2014,AVAILABLE,380,Football-Data.co.uk,,
EPL,2015,AVAILABLE,380,Football-Data.co.uk,,
EPL,2016,AVAILABLE,380,Football-Data.co.uk,,
EPL,2017,AVAILABLE,380,Football-Data.co.uk,,
EPL,2018,AVAILABLE,380,Football-Data.co.uk,,
EPL,2019,AVAILABLE,380,Football-Data.co.uk,,
EPL,2020,AVAILABLE,380,Football-Data.co.uk,,
EPL,2021,AVAILABLE,380,Football-Data.co.uk,,
EPL,2022,AVAILABLE,380,Football-Data.co.uk,,
EPL,2023,AVAILABLE,380,Football-Data.co.uk,,
EPL,2024,AVAILABLE,380,Football-Data.co.uk,,
EPL,2025,AVAILABLE,380,Football-Data.co.uk,,
CHA,2010,AVAILABLE,552,Football-Data.co.uk,,
CHA,2011,AVAILABLE,552,Football-Data.co.uk,,
CHA,2012,AVAILABLE,552,Football-Data.co.uk,,
CHA,2013,AVAILABLE,552,Football-Data.co.uk,,
CHA,2014,AVAILABLE,552,Football-Data.co.uk,,
CHA,2015,AVAILABLE,552,Football-Data.co.uk,,
CHA,2016,AVAILABLE,552,Football-Data.co.uk,,
CHA,2017,AVAILABLE,552,Football-Data.co.uk,,
CHA,2018,AVAILABLE,552,Football-Data.co.uk,,
CHA,2019,AVAILABLE,552,Football-Data.co.uk,,
CHA,2020,AVAILABLE,552,Football-Data.co.uk,,
CHA,2021,AVAILABLE,552,Football-Data.co.uk,,
CHA,2022,AVAILABLE,552,Football-Data.co.uk,,
CHA,2023,AVAILABLE,552,Football-Data.co.uk,,
CHA,2024,AVAILABLE,552,Football-Data.co.uk,,
CHA,2025,AVAILABLE,552,Football-Data.co.uk,,
BL1,2010,AVAILABLE,306,Football-Data.co.uk,,
BL1,2011,AVAILABLE,306,Football-Data.co.uk,,
BL1,2012,AVAILABLE,306,Football-Data.co.uk,,
BL1,2013,AVAILABLE,306,Football-Data.co.uk,,
BL1,2014,AVAILABLE,306,Football-Data.co.uk,,
BL1,2015,AVAILABLE,306,Football-Data.co.uk,,
BL1,2016,AVAILABLE,306,Football-Data.co.uk,,
BL1,2017,AVAILABLE,306,Football-Data.co.uk,,
BL1,2018,AVAILABLE,306,Football-Data.co.uk,,
BL1,2019,AVAILABLE,306,Football-Data.co.uk,,
BL1,2020,AVAILABLE,306,Football-Data.co.uk,,
BL1,2021,AVAILABLE,306,Football-Data.co.uk,,
BL1,2022,AVAILABLE,306,Football-Data.co.uk,,
BL1,2023,AVAILABLE,306,Football-Data.co.uk,,
BL1,2024,AVAILABLE,306,Football-Data.co.uk,,
BL1,2025,AVAILABLE,306,Football-Data.co.uk,,
SA,2010,AVAILABLE,380,Football-Data.co.uk,,
SA,2011,AVAILABLE,380,Football-Data.co.uk,,
SA,2012,AVAILABLE,380,Football-Data.co.uk,,
SA,2013,AVAILABLE,380,Football-Data.co.uk,,
SA,2014,AVAILABLE,380,Football-Data.co.uk,,
SA,2015,AVAILABLE,380,Football-Data.co.uk,,
SA,2016,AVAILABLE,380,Football-Data.co.uk,,
SA,2017,AVAILABLE,380,Football-Data.co.uk,,
SA,2018,AVAILABLE,380,Football-Data.co.uk,,
SA,2019,AVAILABLE,380,Football-Data.co.uk,,
SA,2020,AVAILABLE,380,Football-Data.co.uk,,
SA,2021,AVAILABLE,380,Football-Data.co.uk,,
SA,2022,AVAILABLE,380,Football-Data.co.uk,,
SA,2023,AVAILABLE,380,Football-Data.co.uk,,
SA,2024,AVAILABLE,380,Football-Data.co.uk,,
SA,2025,AVAILABLE,380,Football-Data.co.uk,,
LL,2010,AVAILABLE,380,Football-Data.co.uk,,
LL,2011,AVAILABLE,380,Football-Data.co.uk,,
LL,2012,AVAILABLE,380,Football-Data.co.uk,,
LL,2013,AVAILABLE,380,Football-Data.co.uk,,
LL,2014,AVAILABLE,380,Football-Data.co.uk,,
LL,2015,AVAILABLE,380,Football-Data.co.uk,,
LL,2016,AVAILABLE,380,Football-Data.co.uk,,
LL,2017,AVAILABLE,380,Football-Data.co.uk,,
LL,2018,AVAILABLE,380,Football-Data.co.uk,,
LL,2019,AVAILABLE,380,Football-Data.co.uk,,
LL,2020,AVAILABLE,380,Football-Data.co.uk,,
LL,2021,AVAILABLE,380,Football-Data.co.uk,,
LL,2022,AVAILABLE,380,Football-Data.co.uk,,
LL,2023,AVAILABLE,380,Football-Data.co.uk,,
LL,2024,AVAILABLE,380,Football-Data.co.uk,,
LL,2025,AVAILABLE,380,Football-Data.co.uk,,
FL1,2010,AVAILABLE,380,Football-Data.co.uk,,
FL1,2011,AVAILABLE,380,Football-Data.co.uk,,
FL1,2012,AVAILABLE,380,Football-Data.co.uk,,
FL1,2013,AVAILABLE,380,Football-Data.co.uk,,
FL1,2014,AVAILABLE,380,Football-Data.co.uk,,
FL1,2015,AVAILABLE,380,Football-Data.co.uk,,
FL1,2016,AVAILABLE,380,Football-Data.co.uk,,
FL1,2017,AVAILABLE,380,Football-Data.co.uk,,
FL1,2018,AVAILABLE,380,Football-Data.co.uk,,
FL1,2019,AVAILABLE,279,Football-Data.co.uk,,
FL1,2020,AVAILABLE,380,Football-Data.co.uk,,
FL1,2021,AVAILABLE,380,Football-Data.co.uk,,
FL1,2022,AVAILABLE,380,Football-Data.co.uk,,
FL1,2023,AVAILABLE,306,Football-Data.co.uk,,
FL1,2024,AVAILABLE,306,Football-Data.co.uk,,
FL1,2025,AVAILABLE,306,Football-Data.co.uk,,
J1,2010,AVAILABLE,306,J.League Data Site,Observed rows from official J.League schedule/results page,
J1,2011,AVAILABLE,306,J.League Data Site,Observed rows from official J.League schedule/results page,
J1,2012,AVAILABLE,306,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2013,AVAILABLE,306,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2014,AVAILABLE,306,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2015,AVAILABLE,309,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2016,AVAILABLE,309,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2017,AVAILABLE,306,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2018,AVAILABLE,309,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2019,AVAILABLE,310,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2020,AVAILABLE,306,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2021,AVAILABLE,380,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2022,AVAILABLE,310,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2023,AVAILABLE,306,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2024,AVAILABLE,380,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J1,2025,AVAILABLE,380,Football-Data.co.uk:JPN.csv,Observed rows from primary source,
J2,2010,AVAILABLE,342,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2011,AVAILABLE,380,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2012,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2013,AVAILABLE,464,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2014,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2015,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2016,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2017,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2018,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2019,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2020,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2021,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2022,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2023,AVAILABLE,462,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2024,AVAILABLE,383,J.League Data Site,Observed rows from official J.League schedule/results page,
J2,2025,AVAILABLE,383,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2010,NOT_APPLICABLE,0,J.League Data Site,J3 did not exist in requested historical season,
J3,2011,NOT_APPLICABLE,0,J.League Data Site,J3 did not exist in requested historical season,
J3,2012,NOT_APPLICABLE,0,J.League Data Site,J3 did not exist in requested historical season,
J3,2013,NOT_APPLICABLE,0,J.League Data Site,J3 did not exist in requested historical season,
J3,2014,AVAILABLE,200,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2015,AVAILABLE,236,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2016,AVAILABLE,242,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2017,AVAILABLE,272,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2018,AVAILABLE,272,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2019,AVAILABLE,306,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2020,AVAILABLE,306,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2021,AVAILABLE,210,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2022,AVAILABLE,306,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2023,AVAILABLE,380,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2024,AVAILABLE,382,J.League Data Site,Observed rows from official J.League schedule/results page,
J3,2025,AVAILABLE,382,J.League Data Site,Observed rows from official J.League schedule/results page,
