competition,season,source,field_name,pit_status,count,total,rate
BL1,2010/11,Football-Data.co.uk,away_corners,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,away_goals,PIT_UNSAFE,306,306,1.0
BL1,2010/11,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,away_shots,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,home_corners,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,home_goals,PIT_UNSAFE,306,306,1.0
BL1,2010/11,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,home_shots,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2010/11,Football-Data.co.uk,result,PIT_UNSAFE,306,306,1.0
BL1,2011/12,Football-Data.co.uk,away_corners,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,away_goals,PIT_UNSAFE,306,306,1.0
BL1,2011/12,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,away_shots,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,home_corners,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,home_goals,PIT_UNSAFE,306,306,1.0
BL1,2011/12,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,home_shots,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2011/12,Football-Data.co.uk,result,PIT_UNSAFE,306,306,1.0
BL1,2012/13,Football-Data.co.uk,away_corners,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,away_goals,PIT_UNSAFE,306,306,1.0
BL1,2012/13,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,away_shots,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,home_corners,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,home_goals,PIT_UNSAFE,306,306,1.0
BL1,2012/13,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,home_shots,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2012/13,Football-Data.co.uk,result,PIT_UNSAFE,306,306,1.0
BL1,2013/14,Football-Data.co.uk,away_corners,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,away_goals,PIT_UNSAFE,306,306,1.0
BL1,2013/14,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,away_shots,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,home_corners,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,home_goals,PIT_UNSAFE,306,306,1.0
BL1,2013/14,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,home_shots,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2013/14,Football-Data.co.uk,result,PIT_UNSAFE,306,306,1.0
BL1,2014/15,Football-Data.co.uk,away_corners,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,away_goals,PIT_UNSAFE,306,306,1.0
BL1,2014/15,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,away_shots,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,home_corners,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,home_goals,PIT_UNSAFE,306,306,1.0
BL1,2014/15,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,home_shots,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2014/15,Football-Data.co.uk,result,PIT_UNSAFE,306,306,1.0
BL1,2015/16,Football-Data.co.uk,away_corners,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,away_goals,PIT_UNSAFE,306,306,1.0
BL1,2015/16,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,away_shots,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,home_corners,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,home_goals,PIT_UNSAFE,306,306,1.0
BL1,2015/16,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,home_shots,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2015/16,Football-Data.co.uk,result,PIT_UNSAFE,306,306,1.0
BL1,2016/17,Football-Data.co.uk,away_corners,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,away_goals,PIT_UNSAFE,306,306,1.0
BL1,2016/17,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,away_shots,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,home_corners,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,home_goals,PIT_UNSAFE,306,306,1.0
BL1,2016/17,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,home_shots,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2016/17,Football-Data.co.uk,result,PIT_UNSAFE,306,306,1.0
BL1,2017/18,Football-Data.co.uk,away_corners,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,away_goals,PIT_UNSAFE,306,306,1.0
BL1,2017/18,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,away_shots,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,home_corners,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,home_goals,PIT_UNSAFE,306,306,1.0
BL1,2017/18,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,home_shots,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2017/18,Football-Data.co.uk,result,PIT_UNSAFE,306,306,1.0
BL1,2018/19,Football-Data.co.uk,away_corners,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,away_goals,PIT_UNSAFE,306,306,1.0
BL1,2018/19,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,away_shots,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,home_corners,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,home_goals,PIT_UNSAFE,306,306,1.0
BL1,2018/19,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,home_shots,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,306,306,1.0
BL1,2018/19,Football-Data.co.uk,result,PIT_UNSAFE,306,306,1.0
