competition,source,source_code,adapter,status
E0,Football-Data.co.uk,E0,football_data_wayback,IMPLEMENTED
CH,Football-Data.co.uk,E1,football_data_wayback,IMPLEMENTED
D1,Football-Data.co.uk,D1,football_data_wayback,IMPLEMENTED
I1,Football-Data.co.uk,I1,football_data_wayback,IMPLEMENTED
SP1,Football-Data.co.uk,SP1,football_data_wayback,IMPLEMENTED
F1,Football-Data.co.uk,F1,football_data_wayback,IMPLEMENTED
N1,Football-Data.co.uk,N1,football_data_wayback,IMPLEMENTED
UCL,UNVERIFIED,,,UNVERIFIED
UEL,UNVERIFIED,,,UNVERIFIED
J1,UNVERIFIED,,,UNVERIFIED
J2,UNVERIFIED,,,UNVERIFIED
J3,UNVERIFIED,,,UNVERIFIED
DFBP,UNVERIFIED,,,UNVERIFIED
FRIENDLY,UNVERIFIED,,,UNVERIFIED
EFL,UNVERIFIED,,,UNVERIFIED
